PBD1,,pBD1GPP,,PBD2,,PBD2GPP,,PBD3,,PBD3GPP,,PBD4,,PBD4GPP,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.729537367,2.076045627,1.238787879,3.413461538,0.676156584,2.275665399,0.433939394,3.730769231,-0.491103203,2.228136882,-0.72969697,3.75,-1.639383155,2.247148289,-1.854545455,3.701923077
1.814946619,2.256653992,1.326060606,3.5,0.752075919,2.465779468,0.686060606,3.990384615,-0.310794781,2.560836502,-0.467878788,3.971153846,-1.364175563,2.788973384,-1.621818182,3.961538462
1.976275208,2.522813688,1.51030303,3.644230769,0.941874259,2.826996198,0.783030303,4.076923077,-0.234875445,2.731939163,-0.293333333,4.144230769,-1.098457888,3.235741445,-1.35030303,4.192307692
2.071174377,2.75095057,1.597575758,3.740384615,1.036773428,3.02661597,0.957575758,4.269230769,-0.045077106,3.102661597,-0.235151515,4.240384615,-0.870699881,3.673003802,-1.117575758,4.442307692
2.128113879,2.893536122,1.743030303,3.923076923,1.169632266,3.235741445,1.054545455,4.394230769,0.201660735,3.587452471,-0.031515152,4.403846154,-0.728351127,3.910646388,-0.865454545,4.673076923
2.213523132,3.036121673,1.83030303,3.980769231,1.274021352,3.425855513,1.19030303,4.471153846,0.258600237,3.720532319,0.210909091,4.653846154,-0.633451957,4.129277567,-0.700606061,4.836538462
2.317912218,3.235741445,1.995151515,4.163461538,1.397390273,3.673003802,1.277575758,4.615384615,0.457888493,4.053231939,0.278787879,4.701923077,-0.472123369,4.376425856,-0.603636364,4.932692308
2.460260973,3.520912548,2.092121212,4.230769231,1.549228944,3.977186312,1.423030303,4.730769231,0.704626335,4.52851711,0.463030303,4.855769231,-0.367734282,4.566539924,-0.467878788,5.057692308
2.564650059,3.758555133,2.130909091,4.298076923,1.644128114,4.119771863,1.558787879,4.826923077,0.790035587,4.633079848,0.715151515,5.115384615,-0.215895611,4.794676806,-0.341818182,5.144230769
2.621589561,3.882129278,2.237575758,4.394230769,1.758007117,4.404942966,1.655757576,4.913461538,0.970344009,4.908745247,0.792727273,5.192307692,-0.09252669,4.994296578,-0.225454545,5.278846154
2.735468565,4.081749049,2.324848485,4.480769231,1.881376038,4.595057034,1.791515152,5.067307692,1.198102017,5.212927757,0.938181818,5.288461538,0.03084223,5.174904943,-0.109090909,5.375
2.820877817,4.243346008,2.460606061,4.634615385,1.928825623,4.690114068,1.917575758,5.182692308,1.274021352,5.365019011,1.219393939,5.384615385,0.116251483,5.269961977,0.036363636,5.423076923
2.953736655,4.52851711,2.586666667,4.740384615,2.042704626,4.880228137,2.063030303,5.298076923,1.454329775,5.498098859,1.287272727,5.442307692,0.287069988,5.450570342,0.133333333,5.461538462
3.048635824,4.652091255,2.635151515,4.769230769,2.137603796,5.032319392,2.16,5.326923077,1.691577699,5.640684411,1.452121212,5.480769231,0.381969158,5.517110266,0.288484848,5.5
3.134045077,4.80418251,2.732121212,4.903846154,2.241992883,5.127376426,2.227878788,5.384615385,1.767497034,5.669201521,1.694545455,5.471153846,0.514827995,5.631178707,0.366060606,5.509615385
3.200474496,4.937262357,2.819393939,4.951923077,2.393831554,5.336501901,2.460606061,5.423076923,1.93831554,5.726235741,1.781818182,5.451923077,0.638196916,5.659695817,0.540606061,5.5
3.314353499,5.089353612,2.926060606,5.038461538,2.536180308,5.460076046,2.538181818,5.451923077,2.194543298,5.792775665,1.956363636,5.423076923,0.771055753,5.726235741,0.647272727,5.490384615
3.466192171,5.25095057,3.013333333,5.134615385,2.631079478,5.517110266,2.635151515,5.442307692,2.431791222,5.840304183,2.227878788,5.403846154,0.87544484,5.754752852,0.783030303,5.451923077
3.53262159,5.355513308,3.158787879,5.25,2.735468565,5.593155894,2.741818182,5.442307692,2.697508897,5.878326996,2.431515152,5.355769231,1.017793594,5.783269962,0.899393939,5.432692308
3.637010676,5.460076046,3.216969697,5.317307692,2.868327402,5.669201521,2.935757576,5.432692308,2.925266904,5.925855513,2.712727273,5.317307692,1.141162515,5.821292776,1.025454545,5.403846154
3.712930012,5.507604563,3.401212121,5.394230769,3.029655991,5.716730038,3.042424242,5.413461538,3.181494662,5.94486692,2.770909091,5.278846154,1.255041518,5.849809886,1.132121212,5.375
3.836298932,5.564638783,3.546666667,5.461538462,3.12455516,5.735741445,3.158787879,5.394230769,3.266903915,5.954372624,2.955151515,5.259615385,1.368920522,5.868821293,1.19030303,5.365384615
3.96915777,5.640684411,3.682424242,5.490384615,3.228944247,5.764258555,3.275151515,5.403846154,3.456702254,5.97338403,3.265454545,5.211538462,1.615658363,5.91634981,1.267878788,5.336538462
4.035587189,5.678707224,3.837575758,5.471153846,3.361803084,5.802281369,3.401212121,5.394230769,3.674970344,5.992395437,3.44,5.192307692,1.758007117,5.925855513,1.374545455,5.307692308
4.139976275,5.716730038,3.953939394,5.471153846,3.523131673,5.849809886,3.566060606,5.384615385,3.798339265,5.992395437,3.692121212,5.173076923,1.928825623,5.94486692,1.471515152,5.298076923
4.206405694,5.735741445,4.07030303,5.480769231,3.627520759,5.868821293,3.653333333,5.355769231,3.921708185,5.992395437,3.808484848,5.125,2.147093713,5.954372624,1.626666667,5.269230769
4.377224199,5.783269962,4.215757576,5.480769231,3.75088968,5.878326996,3.76,5.355769231,4.045077106,6.001901141,3.934545455,5.115384615,2.393831554,5.982889734,1.684848485,5.269230769
4.462633452,5.811787072,4.39030303,5.490384615,3.883748517,5.897338403,3.924848485,5.326923077,4.177935943,6.001901141,4.07030303,5.105769231,2.669039146,6.001901141,1.762424242,5.25
4.548042705,5.830798479,4.526060606,5.471153846,4.073546856,5.91634981,4.060606061,5.336538462,4.320284698,6.011406844,4.167272727,5.105769231,2.915776987,6.030418251,1.936969697,5.221153846
4.62396204,5.859315589,4.700606061,5.461538462,4.263345196,5.935361217,4.235151515,5.288461538,4.415183867,6.020912548,4.303030303,5.105769231,3.143534994,6.011406844,2.179393939,5.173076923
4.709371293,5.868821293,4.846060606,5.461538462,4.377224199,5.954372624,4.380606061,5.288461538,4.557532622,6.030418251,4.429090909,5.105769231,3.257413998,6.039923954,2.421818182,5.115384615
4.851720047,5.878326996,4.981818182,5.461538462,4.481613286,5.97338403,4.516363636,5.288461538,4.671411625,6.039923954,4.555151515,5.134615385,3.409252669,6.058935361,2.693333333,5.038461538
4.975088968,5.925855513,5.059393939,5.5,4.548042705,6.001901141,4.623030303,5.269230769,4.823250297,6.030418251,4.690909091,5.125,3.646500593,6.049429658,2.906666667,5.019230769
5.041518387,5.94486692,5.156363636,5.471153846,4.642941874,5.992395437,4.797575758,5.259615385,4.975088968,6.039923954,4.807272727,5.144230769,3.836298932,6.058935361,3.178181818,4.961538462
5.145907473,5.954372624,5.233939394,5.490384615,4.81376038,6.001901141,4.875151515,5.278846154,5.164887307,6.068441065,4.923636364,5.163461538,4.06405694,6.068441065,3.255757576,4.951923077
5.221826809,5.97338403,5.340606061,5.509615385,4.889679715,6.020912548,5.020606061,5.307692308,5.259786477,6.068441065,5.059393939,5.211538462,4.196915777,6.087452471,3.401212121,4.932692308
5.354685647,6.001901141,5.476363636,5.567307692,5.03202847,6.030418251,5.117575758,5.326923077,5.364175563,6.077946768,5.185454545,5.259615385,4.396204033,6.106463878,3.672727273,4.894230769
5.478054567,6.020912548,5.612121212,5.625,5.145907473,6.039923954,5.282424242,5.403846154,5.46856465,6.087452471,5.301818182,5.336538462,4.538552788,6.087452471,3.779393939,4.884615385
5.610913405,6.039923954,5.757575758,5.663461538,5.269276394,6.039923954,5.379393939,5.413461538,5.667852906,6.096958175,5.418181818,5.394230769,4.728351127,6.077946768,3.992727273,4.875
5.715302491,6.039923954,5.864242424,5.721153846,5.383155397,6.058935361,5.534545455,5.461538462,5.810201661,6.115969582,5.553939394,5.461538462,4.861209964,6.087452471,4.186666667,4.875
5.848161329,6.077946768,5.970909091,5.769230769,5.534994069,6.068441065,5.650909091,5.5,5.952550415,6.134980989,5.631515152,5.519230769,5.060498221,6.096958175,4.264242424,4.875
5.971530249,6.096958175,6.116363636,5.836538462,5.753262159,6.106463878,5.738181818,5.538461538,6.09489917,6.173003802,5.709090909,5.576923077,5.288256228,6.115969582,4.448484848,4.865384615
6.075919336,6.106463878,6.223030303,5.894230769,5.819691578,6.106463878,5.815757576,5.615384615,6.275207592,6.201520913,5.776969697,5.615384615,5.459074733,6.134980989,4.749090909,4.990384615
6.332147094,6.153992395,6.378181818,5.990384615,5.933570581,6.125475285,5.893333333,5.663461538,,,5.864242424,5.653846154,5.68683274,6.134980989,4.952727273,5.048076923
6.512455516,6.211026616,6.562424242,6.144230769,6.018979834,6.134980989,5.970909091,5.701923077,,,5.99030303,5.711538462,5.895610913,6.153992395,5.282424242,5.211538462
6.730723606,6.258555133,,,6.161328588,6.153992395,6.058181818,5.75,,,6.096969697,5.798076923,6.066429419,6.163498099,5.515151515,5.346153846
,,,,6.275207592,6.182509506,6.145454545,5.817307692,,,6.203636364,5.865384615,6.180308422,6.192015209,5.563636364,5.432692308
,,,,6.446026097,6.211026616,6.261818182,5.875,,,6.32,5.923076923,6.417556346,6.230038023,5.738181818,5.538461538
,,,,,,6.436363636,6.009615385,,,6.436363636,6.009615385,6.645314353,6.287072243,5.893333333,5.673076923
,,,,,,6.591515152,6.125,,,6.572121212,6.125,6.854092527,6.353612167,6,5.721153846
,,,,,,6.717575758,6.201923077,,,,,6.986951364,6.382129278,6.126060606,5.788461538
,,,,,,6.882424242,6.278846154,,,,,,,6.300606061,5.903846154
,,,,,,6.998787879,6.346153846,,,,,,,7.037575758,6.394230769
